cardIdentifier,name,printings_identifier,printings_rarity,printings_set,pitch,typeText,subtypes,types
10000-year-reunion-red,"10,000 Year Reunion (Red)",MST131,Majestic,Part The Mistveil,1,Illusionist Action - Aura,Aura; NonAttack,Action
a-bit-off-the-side-red,A Bit off the Side (Red),OMN243,Majestic,Omens Of The Third Age,1,Guardian / Warrior Action,NonAttack,Action
a-drop-in-the-ocean-blue,A Drop in the Ocean (Blue),SEN031,Common,Enigma Silver Age Deck,3,Mystic Instant,,Instant
a-drop-in-the-ocean-blue,A Drop in the Ocean (Blue),MST095,Common,Part The Mistveil,3,Mystic Instant,,Instant
a-drop-in-the-ocean-blue,A Drop in the Ocean (Blue),MST095,Marvel,Part The Mistveil,3,Mystic Instant,,Instant
a-drop-in-the-ocean-blue,A Drop in the Ocean (Blue),ENG025,Common,Enigma Blitz Deck,3,Mystic Instant,,Instant
a-drop-in-the-ocean-blue,A Drop in the Ocean (Blue),LGS282,Promo,Promos,3,Mystic Instant,,Instant
a-good-clean-fight-red,A Good Clean Fight (Red),SUP021,Super Rare,Super Slam,1,Revered Action - Attack,Attack,Action
a-good-clean-fight-red,A Good Clean Fight (Red),GEM088,Promo,GEM,1,Revered Action - Attack,Attack,Action
absorb-in-aether-red,Absorb in Aether (Red),SBZ012,Rare,Blaze Silver Age Deck,1,Wizard Defense Reaction,,DefenseReaction
absorb-in-aether-red,Absorb in Aether (Red),SIY013,Rare,Iyslander Silver Age Deck,1,Wizard Defense Reaction,,DefenseReaction
absorb-in-aether-red,Absorb in Aether (Red),ARC123,Rare,Arcane Rising,1,Wizard Defense Reaction,,DefenseReaction
absorb-in-aether-yellow,Absorb in Aether (Yellow),ARC124,Rare,Arcane Rising,2,Wizard Defense Reaction,,DefenseReaction
absorb-in-aether-blue,Absorb in Aether (Blue),ARC125,Rare,Arcane Rising,3,Wizard Defense Reaction,,DefenseReaction
absorption-dome-yellow,Absorption Dome (Yellow),CRU104,Majestic,Crucible Of War,2,Mechanologist Action - Item,Item; NonAttack,Action
achilles-accelerator,Achilles Accelerator,SDA010,Common,Dash Silver Age Deck,,Mechanologist Equipment - Legs,Legs,Equipment
achilles-accelerator,Achilles Accelerator,1HP186,Common,History Pack 1,,Mechanologist Equipment - Legs,Legs,Equipment
achilles-accelerator,Achilles Accelerator,ARC005,Common,Arcane Rising,,Mechanologist Equipment - Legs,Legs,Equipment
achilles-accelerator,Achilles Accelerator,FAB101,Promo,Promos,,Mechanologist Equipment - Legs,Legs,Equipment
act-of-glory-red,Act of Glory (Red),SLY016,Common,Lyath Silver Age Deck,1,Guardian Instant - Aura,Aura,Instant
act-of-glory-red,Act of Glory (Red),APS011,Common,Armory Deck Pleiades,1,Guardian Instant - Aura,Aura,Instant
act-of-glory-red,Act of Glory (Red),SUP195,Common,Super Slam,1,Guardian Instant - Aura,Aura,Instant
act-of-glory-red,Act of Glory (Red),LGS435,Promo,Promos,1,Guardian Instant - Aura,Aura,Instant
act-of-glory-yellow,Act of Glory (Yellow),SUP196,Common,Super Slam,2,Guardian Instant - Aura,Aura,Instant
act-of-glory-blue,Act of Glory (Blue),APS022,Common,Armory Deck Pleiades,3,Guardian Instant - Aura,Aura,Instant
act-of-glory-blue,Act of Glory (Blue),SUP197,Common,Super Slam,3,Guardian Instant - Aura,Aura,Instant
adaptive-alpha-mold,Adaptive Alpha Mold,SUP253,Majestic,Super Slam,,Mechanologist Equipment - Base,Base,Equipment
adaptive-dissolver,Adaptive Dissolver,ROS246,Majestic,Rosetta,,Mechanologist Equipment - Base,Base,Equipment
adaptive-plating,Adaptive Plating,EVO013,Legendary,Bright Lights,,Mechanologist Equipment,,Equipment
adaptive-plating,Adaptive Plating,FAB169,Promo,Promos,,Mechanologist Equipment,,Equipment
adrenaline-rush-red,Adrenaline Rush (Red),HVY222,Common,Heavy Hitters,1,Generic Action - Attack,Attack,Action
